name,elevation_ft,range_name,caic_zone,trailhead_id,cluster_id,tier,typical_window_start,typical_window_end,approach_miles_rt,vert_ft,line_name,primary_aspect,secondary_aspects,max_angle_deg,summit_continuous,fallback_line,line_notes,verified
Pikes Peak,14110,Front,front_range,crags_pikes,pikes,1,03-01,05-01,10.0,4000,Y Couloir / East couloirs,E,,35,0,Railroad Couloir,Continuity poor; ski descents are opportunistic. Far edge of CAIC Front Range coverage.,0
Mt. Elbert,14440,Sawatch,sawatch,black_cloud,elbert,0,02-15,05-15,9.0,4500,East Face / Box Creek Cirque,E,,32,1,Northeast Ridge,Highest in CO; broad E faces.,0
Mt. Massive,14428,Sawatch,sawatch,massive_th,massive,0,02-15,05-15,13.6,4500,Southeast Face,SE,E,33,1,East Slopes,"Big, broad; multiple summits along the ridge.",0
Mt. Harvard,14421,Sawatch,sawatch,north_cottonwood,harvard,1,03-01,05-15,14.0,4600,South / SE Face,SE,S,33,1,South Slopes,Long approach; shares TH with Columbia.,0
La Plata Peak,14343,Sawatch,sawatch,la_plata_th,la_plata,1,03-15,05-15,9.25,4300,Northwest Couloir,NW,N,40,1,Ellingwood Ridge,N/NW lines hold cold snow late; PWL-sensitive aspects.,0
Mt. Antero,14276,Sawatch,sawatch,baldwin_gulch,antero,0,03-01,05-01,16.0,5200,North / NW slopes,NW,N,33,1,West Slopes Road,Very long 4WD road inflates approach when gated.,0
Mt. Shavano,14231,Sawatch,sawatch,blank_gulch,shavano_tabeguache,1,03-01,05-01,9.0,4600,Angel of Shavano,E,NE,38,1,East Slopes,Iconic snow-angel couloir; corn line. Linkup with Tabeguache.,0
Tabeguache Peak,14162,Sawatch,sawatch,blank_gulch,shavano_tabeguache,1,03-01,05-01,11.0,4900,Northeast Couloir,NE,,35,1,via Shavano saddle,Reached via the Shavano saddle; strictest go/no-go governs the linkup.,0
Mt. Princeton,14197,Sawatch,sawatch,princeton_towers,princeton,0,03-01,05-01,6.5,3200,East Slopes,E,,33,1,Tigger shoulder,Wind-hammered E slopes; coverage variable. Road walk if gated.,0
Mt. Yale,14200,Sawatch,sawatch,denny_creek,yale,0,03-01,05-15,9.5,4300,Southwest Slopes / East,E,SW,33,1,East Ridge,"Moderate, popular.",0
Mt. Columbia,14077,Sawatch,sawatch,north_cottonwood,columbia,1,03-15,05-15,11.5,4200,West Gully / East,E,W,35,1,Southeast Ridge,Often paired with Harvard from North Cottonwood; loose when thin.,0
Mt. Oxford,14160,Sawatch,sawatch,missouri_gulch,belford_oxford_missouri,1,03-15,05-15,11.0,5800,South slopes (via Belford),S,,30,1,Belford traverse,Bagged via the Belford traverse; big-vert linkup day.,0
Mt. Belford,14203,Sawatch,sawatch,missouri_gulch,belford_oxford_missouri,1,03-15,05-15,8.0,4500,Northwest Ridge / NE,NW,NE,33,1,Northwest Ridge,Hub of the Missouri Gulch linkup.,0
Missouri Mountain,14071,Sawatch,sawatch,missouri_gulch,belford_oxford_missouri,1,03-15,05-15,10.5,4500,Northwest Face,NW,,38,1,Northwest Ridge,Steepest of the Missouri Gulch trio; cornice-guarded.,0
Huron Peak,14010,Sawatch,sawatch,south_winfield,huron,1,03-15,05-15,11.0,3500,Northwest Face,NW,N,35,1,Northwest Slopes,Winfield road gating doubles the approach in season.,0
Mt. of the Holy Cross,14011,Sawatch,vail_summit,half_moon,holy_cross,2,04-01,05-31,12.0,5600,Cross Couloir,N,NE,45,1,Angelica Couloir,CRUX. The Cross Couloir is a committing N line; holds cold/PWL snow. Long approach with Tigiwon road gated.,0
Uncompahgre Peak,14309,San Juan,north_san_juan,nellie_creek,uncompahgre,1,03-15,05-15,16.0,3000,South Face / East,S,E,33,1,West Face,Highest San Juan; long gated road. S/E corn aspects.,0
Wetterhorn Peak,14015,San Juan,north_san_juan,matterhorn_creek,wetterhorn,2,04-01,05-31,7.0,3300,Southeast Face,SE,E,40,0,East Face,CRUX. Rocky summit block -- continuity to the TRUE summit is the validity crux here.,0
Mt. Sneffels,14150,San Juan,north_san_juan,yankee_boy,sneffels,2,03-15,05-31,6.0,3000,Snake Couloir,N,E,45,0,Birthday Chutes,CRUX. The Snake tops out just below the summit; fill-dependent continuity. North aspect = PWL-sensitive.,0
Handies Peak,14048,San Juan,north_san_juan,american_basin,handies,1,03-15,05-15,5.5,2500,East / Southwest slopes,E,SW,32,1,Southwest Slopes,Easiest San Juan; American Basin corn.,0
Redcloud Peak,14034,San Juan,north_san_juan,silver_creek,redcloud_sunshine,1,03-15,05-15,9.0,3700,Northeast Ridge / N,NE,N,33,1,Northeast Gully,Linkup with Sunshine via the connecting ridge.,0
Sunshine Peak,14001,San Juan,north_san_juan,silver_creek,redcloud_sunshine,1,03-15,05-15,11.5,4400,North slopes (via Redcloud),N,,33,1,South Ridge,Lowest CO 14er; reached over Redcloud.,0
San Luis Peak,14014,San Juan,north_san_juan,stewart_creek,san_luis,1,03-15,05-15,13.5,3600,Northeast / East slopes,NE,E,30,1,Northeast Ridge,"Remote, gentle, long. CAIC coverage is coarse out here -- expect degraded-data days.",0
Mt. Eolus,14083,San Juan,north_san_juan,needleton,chicago_basin,2,04-01,05-31,17.0,6000,Northeast Couloir / glacier,NE,N,40,0,North Face,CRUX. Chicago Basin -- train + basecamp. Catwalk to the summit is rocky; continuity crux.,0
Sunlight Peak,14059,San Juan,north_san_juan,needleton,chicago_basin,2,04-01,05-31,17.0,6000,South / East,S,E,40,0,Red Couloir,CRUX. Notorious summit-block scramble -- a continuous SKI to the true summit is essentially impossible; the validity test will likely veto.,0
Windom Peak,14082,San Juan,north_san_juan,needleton,chicago_basin,2,04-01,05-31,17.0,6000,West / Northwest,W,NW,38,1,West Ridge,CRUX. The most skiable of the Chicago Basin three.,0
Mt. Wilson,14246,San Juan,north_san_juan,navajo_lake,wilson_group,2,04-01,05-31,16.0,5100,North Face / Boxcar,N,,45,0,Northwest Couloir,"CRUX. Summit block continuity crux. (El Diente, dropped from the 54, would otherwise link here via the traverse.)",0
Wilson Peak,14017,San Juan,north_san_juan,rock_of_ages,wilson_group,2,04-01,05-31,10.0,4000,Southwest / West,SW,W,40,1,Southwest Ridge,Different TH (Rock of Ages) than Mt. Wilson; SW corn line.,0
Crestone Peak,14294,Sangre de Cristo,sangre_de_cristo,south_colony,crestones,2,04-15,05-31,13.0,5700,Red Gully (South Face),S,,45,0,Northwest Couloir,CRUX. Red Gully tops out below the true summit -- continuity/validity crux. Conglomerate rock.,0
Crestone Needle,14197,Sangre de Cristo,sangre_de_cristo,south_colony,crestones,2,04-15,05-31,12.0,5400,South Face couloirs,S,E,48,0,Ellingwood Arete area,CRUX. Among the steepest objectives; rocky summit. Linkup with Crestone Peak governed by strictest go/no-go.,0
Kit Carson Peak,14165,Sangre de Cristo,sangre_de_cristo,willow_lake,kit_carson_group,2,04-01,05-31,14.5,5800,Outward Bound Couloir,S,,42,0,North Couloir,CRUX. OB Couloir is the classic; summit continuity is the validity test.,0
Challenger Point,14081,Sangre de Cristo,sangre_de_cristo,willow_lake,kit_carson_group,2,04-01,05-31,13.5,5400,North slopes (via Kit Carson),N,,40,1,North Ridge,Bagged with Kit Carson from Willow Lake.,0
Humboldt Peak,14064,Sangre de Cristo,sangre_de_cristo,south_colony,humboldt,1,03-15,05-15,11.0,4200,East / West slopes,E,W,35,1,West Ridge,The gentle option from South Colony; good acclimatization day for the Crestones cluster.,0
Blanca Peak,14345,Sangre de Cristo,sangre_de_cristo,lake_como,blanca_group,2,04-01,05-31,17.0,6000,Northwest Face / Gash Ridge,NW,N,42,0,Northwest Ridge,CRUX. Como road is brutal; big basin day with Ellingwood/Little Bear.,0
Ellingwood Point,14042,Sangre de Cristo,sangre_de_cristo,lake_como,blanca_group,2,04-01,05-31,16.0,5800,North Face,N,,40,1,Southwest Ridge,Linked with Blanca from Lake Como basin.,0
Little Bear Peak,14037,Sangre de Cristo,sangre_de_cristo,lake_como,blanca_group,2,04-15,05-31,14.0,5000,Hourglass Couloir,E,NE,45,0,West Ridge,CRUX. The Hourglass tops below the chossy true summit -- the textbook continuity/validity crux of the whole project. Strictest member of the Como basin cluster.,0
Mt. Lindsey,14042,Sangre de Cristo,sangre_de_cristo,lily_lake,lindsey,2,04-01,05-31,8.25,3500,Northwest Gully,NW,N,40,1,North Couloir,CRUX-tier by aspect/consequence though shorter; Huerfano road gated.,0
Culebra Peak,14047,Sangre de Cristo,sangre_de_cristo,cielo_vista,culebra,2,03-15,05-15,11.0,2700,Northwest / West slopes,NW,W,33,1,West Ridge,"CRUX for ACCESS, not avalanche: privately owned (Cielo Vista Ranch), must pre-book a permit on a day the ranch allows it. A hard scheduling constraint independent of conditions.",0
Maroon Peak,14163,Elk,aspen,maroon_lake,maroon_bells,2,04-15,05-31,12.0,5100,Bell Cord Couloir,E,S,48,1,South Face,CRUX. Bell Cord splits the Bells; rotten Maroon Formation rock. Maroon Creek road closure adds a long approach.,0
North Maroon Peak,14014,Elk,aspen,maroon_lake,maroon_bells,2,04-15,05-31,9.0,4500,Northeast Face,NE,N,50,0,North Face,CRUX. The 54-list peak kept over El Diente. Rocky summit -- continuity crux. Linked with Maroon from Maroon Lake.,0
Pyramid Peak,14018,Elk,aspen,maroon_lake,pyramid,2,04-15,05-31,8.0,4500,Landry Line (East Face),E,NE,50,1,West Face,CRUX. The Landry Line skis from the true summit -- one of CO's most committing descents. Needs a rare bonded-corn window.,0
Snowmass Mountain,14092,Elk,aspen,snowmass_creek,snowmass,2,04-15,05-31,22.0,5800,East Face (Snowmass),E,,40,1,South Face,CRUX. Long valley approach; the namesake E face. Continuity good when filled.,0
Capitol Peak,14130,Elk,aspen,capitol_creek,capitol,2,04-20,05-31,17.0,5300,North Face / K2 to summit,N,E,50,0,Northeast Couloir,"CRUX. The hardest objective in the project: knife-edge to a rocky summit, N aspect PWL exposure. Latest, narrowest safe window -- this peak most often sets the finish date.",0
Castle Peak,14265,Elk,aspen,castle_creek,castle,1,03-15,05-15,13.5,4400,Northeast Couloir,NE,N,38,1,North Face,"The accessible Elk 14er; Montezuma Basin road gating drives the approach. (Conundrum, dropped from the 54, links from the same basin.)",0
